1/1/2007,14233.226
4/1/2007,14422.313
7/1/2007,14569.675
10/1/2007,14685.33
1/1/2008,14668.445
4/1/2008,14812.974
7/1/2008,14842.983
10/1/2008,14549.949
1/1/2009,14383.885
4/1/2009,14340.417
7/1/2009,14384.145
10/1/2009,14566.511
1/1/2010,14681.063
4/1/2010,14888.6
7/1/2010,15057.66
10/1/2010,15230.208
1/1/2011,15238.371
4/1/2011,15460.926
7/1/2011,15587.125
10/1/2011,15785.312
1/1/2012,15973.881
4/1/2012,16121.851
7/1/2012,16227.939
10/1/2012,16297.349
1/1/2013,16475.44
4/1/2013,16541.39
7/1/2013,16749.349
10/1/2013,16999.888
1/1/2014,17031.324
4/1/2014,17320.921
7/1/2014,17622.257
10/1/2014,17735.933
1/1/2015,17874.715
4/1/2015,18093.224
7/1/2015,18227.689
10/1/2015,18287.226
1/1/2016,18325.187
4/1/2016,18538.039
7/1/2016,18729.13
10/1/2016,18905.545
1/1/2017,19057.705
4/1/2017,19250.009
7/1/2017,19495.476
